object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,type_cn,object id
59-24/27,以山为背景的村庄,清朝1644—1911,绘画，清朝（1644-1911）,专辑叶;纸上的颜色和墨水,就像他的同时代人顾健龙一样，他从模具大师那里学习了古典风格，而不是直接从自然中描绘场景。这两幅画遵循了早期大师的方法，在矿物蓝色和绿色中描绘出了很高的绘画技巧，但它们在墨水、调色和笔触的处理方面也展现了高超的技巧。,总体尺寸：14 1/2 x 11 1/2英寸（36.83 x 29.21厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/130/village-with-mountains-in-background;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=0,https://art.nelson-atkins.org/internal/media/dispatcher/34328/full,images\nelson-atkins\0.jpg,Purchase: William Rockhill Nelson Trust,59-24/27,2026/5/3,绘画,1
F75-43,第一千一百一十章方湖仙岛,1699,绘画、卷轴,挂卷轴;丝绸上的水墨和色彩,漂浮在海底的巨石存在于另一个世界的领域。根据道教的经文，方湖是位于中国东部海岸的一个不朽之地。注意宫殿建筑、青翠的松林和苍翠的鹤。这些细节标志着人们的死亡。在铭文中，王云翔留下了他的道友老鹤，他可能会邀请他来到这个场景。,图像：55 7/8 x 23 3/4英寸（141.92 x 60.33厘米）底座：116 7/8 x 31 3/8英寸（296.86 x 79.69厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/406/the-fanghu-isle-of-the-immortals;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=1,https://art.nelson-atkins.org/internal/media/dispatcher/27683/full,images/nelson-atkins/F75-43.jpg,Purchase: acquired through the Fortieth Anniversary Fund,F75-43,2026/5/3,绘画,2
47-71,山峰间的孤独寺庙,北宋960—1127,卷轴、绘画,挂卷轴;丝绸上有墨水和淡淡的色彩,这幅画中的每一个细节都激发了视觉上的兴奋。旅行者从楼下看到了冬日的山峰，从风景中喷发到了山顶上的佛寺。寺庙的多层佛塔指向山峰和天空，象征着巨大的精神力量。这些图像反映了古代世界的观点，即世界是由天、地和水组成的。人们相信山连接着陆地和陆地，服务于云和水的资源。这幅风景中自然和人文的各种景观反映了更广阔的宇宙中人们的所在地。,图片：44 x 22英寸（111.76 x 55.88厘米）总体（包括1 1/2英寸悬垂线）：88 x 22 1/2英寸（223.52 x 57.15厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/641/a-solitary-temple-amid-clearing-peaks;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=2,https://art.nelson-atkins.org/internal/media/dispatcher/178383/full,images/nelson-atkins/47-71.jpg,Purchase: William Rockhill Nelson Trust,47-71,2026/5/3,卷轴,3
F75-44,溪流和岩石,16世纪,卷轴、绘画,手卷;丝绸上的墨水和色彩,鹿志为他的朋友鹿深画了蓝绿色的图画，他以长袍为代表，在牧场布景中沉思。鹿深在两个字符中写下了他的艺术家的名字西施（画外,总体尺寸：12 5/8 x 128英寸（32.07 x 325.12厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/837/stream-and-rocks;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=3,https://art.nelson-atkins.org/internal/media/dispatcher/37124/full,images/nelson-atkins/F75-44.jpg,Purchase: acquired through the Fortieth Anniversary Fund,F75-44,2026/5/3,卷轴,4
60-36/11 C,罗振宇（后评论员）的头版,1918,绘画，清朝（1644-1911）,专辑叶;墨水和水彩画在纸上，带有丝绸底座,未知,图像：9 5/8 x 17 3/4英寸（24.45 x 45.09厘米）底座：1/4 1/4 x 21 1/2英寸（36.2 x 54.61厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/870/frontispiece-of-luo-zhenyu-later-commentator;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=4,https://art.nelson-atkins.org/internal/media/dispatcher/34629/full,images\nelson-atkins\4.jpg,Purchase: William Rockhill Nelson Trust,60-36/11 C,2026/5/3,绘画,5
59-24/31,山瀑布,清朝1644—1911,绘画，清朝（1644-1911）,专辑叶;纸上的颜色和墨水,未知,总体：14 1/2 x 11 1/2英寸（36.83 x 29.21厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/915/mountain-waterfalls;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=5,https://art.nelson-atkins.org/internal/media/dispatcher/34332/full,images\nelson-atkins\5.jpg,Purchase: William Rockhill Nelson Trust,59-24/31,2026/5/3,绘画,6
46-48,古柏和岩石,1550,卷轴、绘画,Handscroll; ink on paper,未知,图像：10 1/4 x 19 1/4英寸（26.04 x 48.9厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1026/old-cypress-and-rock;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=6,https://art.nelson-atkins.org/internal/media/dispatcher/152075/full,images/nelson-atkins/46-48.jpg,Purchase: William Rockhill Nelson Trust,46-48,2026/5/3,卷轴,7
33-8/3 A,芦苇岸上的大雁,12世纪,绘画，宋（960-1279）,扇子安装成专辑叶;丝绸上的墨水和色彩,鹅的形象在中国大陆很流行，这幅真实绘制的古老鹅栖息在亚洲河岸的照片中。值得信赖的鹅正在从北方到南方带来季节性的信息。鹅代表着良好的忠诚和秩序，因为它们不规则的迁徙和有组织的飞行队形。,总体尺寸：9 1/4 x 8 5/8英寸（23.5 x 21.91厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1241/wild-goose-on-a-bank-of-reeds;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=7,https://art.nelson-atkins.org/internal/media/dispatcher/29075/full,images\nelson-atkins\7.jpg,Purchase: William Rockhill Nelson Trust,33-8/3 A,2026/5/3,绘画,8
F78-18/2,斯普林山脉,清朝1644—1911,绘画，清朝（1644-1911）,专辑叶;水墨水彩，配有丝绸底座,李诗卓瓦是满洲官方的全部绘画作品，从他那个时代的著名文学家那里学习。他的画作延续了古典主义的绘画传统，但与此同时，他们在描绘巨石和悬崖的干笔画和描绘云沙水的壁画中展示了个人敏感性。一般来说，他对色彩的使用遵循了传统，在编辑上节约地、更多地使用了民主的强度来增强其创作目的。然而，在日出之前大胆使用了拉梅尔的画作，但在更真实地代表了自然的转变情绪中，没有被反映出来，也没有被有趣。,图像：9 1/2 × 5 3/4英寸（24.13 × 14.61厘米）安装：1/2 1/4 × 7 1/2英寸（31.12 × 19.05厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1321/spring-mountains;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=8,https://art.nelson-atkins.org/internal/media/dispatcher/33809/full,images\nelson-atkins\8.jpg,Purchase: acquired through the generosity of an anonymous donor,F78-18/2,2026/5/3,绘画,9
1976/10/12,三教堂,明朝1368—1644,卷轴、绘画,挂卷轴;丝绸上的水墨和色彩,这幅画描绘了三角架的三脚架：释迦穆尼（佛教）左边，孔子（儒家）中与老儿（道教）今晚。他们不是同时代的人，这就是绘画的挑衅和空间。插图三教和谐的含义被视为精英主义令人难以置信的领导者。三人站得近，在亲密的对话中被视为人类。尽管历史上的康索，意见不一，偏好出现。一位自称是孔子后裔的前收藏家，对这幅画写了一点，将三足动物比作三足动物的腿，但认为它偏爱他的推定祖先。,总体：57 3/4 x 29英寸（146.69 x 73.66厘米）底座：117 x 32 1/2英寸（297.18 x 82.55厘米）,尼尔森-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1349/the-three-teachings;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=9,https://art.nelson-atkins.org/internal/media/dispatcher/34632/full,images\nelson-atkins\9.jpg,"Gift of Bronson Trevor in honor of his father, John B. Trevor",1976/10/12,2026/5/3,卷轴,10
